Kot,Cat,Katze
Pies,Dog,Hund
Dom,House,Haus
Książka,Book,Buch
Samochód,Car,Auto
Jabłko,Apple,Apfel
Telefon,Phone,Telefon
Rower,Bike,Fahrrad
Drzewo,Tree,Baum
Słońce,Sun,Sonne
Kwiat,Flower,Blume
Łóżko,Bed,Bett
Krzesło,Chair,Stuhl
Stół,Table,Tisch
Okno,Window,Fenster
Klucz,Key,Schlüssel
Droga,Way,Weg
Miłość,Love,Liebe
Praca,Work,Arbeit
Szkoła,School,Schule
Uczeń,Student,Schüler
Nauczyciel,Teacher,Lehrer
Komputer,Computer,Computer
Miasto,City,Stadt
Wieś,Village,Dorf
Księżyc,Moon,Mond
Morze,Sea,Meer
Góra,Mountain,Berg
Chleb,Bread,Brot
Mleko,Milk,Milch
Jezioro,Lake,See
Park,Park,Park
Most,Bridge,Brücke
Samolot,Plane,Flugzeug
Ptak,Bird,Vogel
Pociąg,Train,Zug
Zegar,Clock,Uhr
Pieniądze,Money,Geld
Zwierzę,Animal,Tier
Ryba,Fish,Fisch
Ser,Cheese,Käse
Kawa,Coffee,Kaffee
Herbata,Tea,Tee
Cukierki,Candy,Süßigkeiten
Ołówek,Pencil,Bleistift
Papier,Paper,Papier
Plecak,Backpack,Rucksack
Dziewczyna,Girl,Mädchen
Chłopiec,Boy,Junge
Koń,Horse,Pferd
Szyba,Glass,Glass
Woda,Water,Wasser
Drzwi,Door,Tür
Piesek,Puppy,Hündchen
Pogoda,Weather,Wetter
Sklep,Shop,Laden
